run_label,mode,id,type,question,gold_answer,pred_answer,pred_answer_raw,em,char_f1,evidence_strict_hit,evidence_any_hit,retrieve_sec,llm_sec,latency_sec,error
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe14c,questanswer_1doc,"国家卫生健康委员会于2023年7月28日启动了名为""启明行动""的专项活动，旨在针对特定群体的特定健康问题进行防控。请问这项活动具体针对哪个群体的健康问题？同时，请提供该活动所依据的指导性文件的名称。",“启明行动”是为了防控儿童青少年的近视问题，并发布了《防控儿童青少年近视核心知识十条》。,“启明行动”针对儿童青少年的近视防控健康问题，所依据的指导性文件名称为《防控儿童青少年近视核心知识十条》。,“启明行动”针对儿童青少年的近视防控健康问题，所依据的指导性文件名称为《防控儿童青少年近视核心知识十条》。,0.0000,0.7835,NA,NA,14.6107,0.6600,15.2707,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe14d,questanswer_1doc,最近，陕西省西安市发放大量了体育类电子消费券，供市民使用。这些电子消费券的具体金额是多少？可以在多少家体育场馆使用？,陕西西安市发放了500万元体育类电子消费券，市民可以在全市173家体育场馆使用这些消费券。,陕西省西安市在2022年安排地方留用体育彩票公益金1.38亿元，用于援建公共体育场地和设施1.33亿元，其中包含小型健身中心、小型体育公园等场地设施建设，但未明确提及具体发放的体育类电子消费券金额及可在多少家体育场馆使用。,陕西省西安市在2022年安排地方留用体育彩票公益金1.38亿元，用于援建公共体育场地和设施1.33亿元，其中包含小型健身中心、小型体育公园等场地设施建设，但未明确提及具体发放的体育类电子消费券金额及可在多少家体育场馆使用。,0.0000,0.3846,NA,NA,13.3686,1.2870,14.6556,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe156,questanswer_1doc,国家药监局在对哪5个品种的医疗器械进行产品质量监督抽检时，共发现了多少批（台）产品不符合标准规定？,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、立式压力蒸汽灭菌器、电动吸引器和人体血液及血液成分袋式塑料容器（血袋）这5个品种进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、天然胶乳橡胶避孕套、医用外科口罩、鼻内窥镜等5个品种的医疗器械进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、天然胶乳橡胶避孕套、医用外科口罩、鼻内窥镜等5个品种的医疗器械进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定,0.0000,0.7248,NA,NA,12.1360,1.4097,13.5457,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe164,questanswer_1doc,在江苏省中医院副主任中医师徐顺娟提出的大暑养生建议中，她强调了养生的关键在于养护哪两个方面？,徐顺娟强调大暑养生的关键在于养“心阴”和护“脾气”。,大暑养生关键在养“心阴”、护“脾气”,大暑养生关键在养“心阴”、护“脾气”,0.0000,0.7727,NA,NA,12.7071,0.8813,13.5883,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe17a,questanswer_1doc,国务院办公厅转发的《关于恢复和扩大消费措施》通知中提到的优化汽车购买使用管理措施包括哪些具体政策？,优化汽车购买使用管理的具体政策包括：各地区不得新增汽车限购措施，已实施限购的地区优化汽车限购措施；全面取消二手车限迁、便利二手车交易登记；鼓励以旧换新，不得对非本地生产的汽车实施歧视性政策；加大汽车消费金融支持力度；增加城市停车位供给，改善人员密集场所和景区停车条件，推进车位资源共享利用。,优化汽车购买使用管理措施包括各地区不得新增汽车限购措施，已实施限购的地区因地制宜优化汽车限购措施，并支持刚性和改善性住房需求，畅通二手车市场流通，便利二手车交易登记，加强汽车消费金融支持，以及扩大新能源汽车消费并落实相关车辆购置税减免政策。,优化汽车购买使用管理措施包括各地区不得新增汽车限购措施，已实施限购的地区因地制宜优化汽车限购措施，并支持刚性和改善性住房需求，畅通二手车市场流通，便利二手车交易登记，加强汽车消费金融支持，以及扩大新能源汽车消费并落实相关车辆购置税减免政策。,0.0000,0.6491,NA,NA,11.7481,1.6577,13.4058,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe187,questanswer_1doc,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对多少名晚期子宫内膜癌患者显示出了抗肿瘤响应？,在人体试验中，NP137对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,0.0000,0.6939,NA,NA,13.3698,0.8509,14.2207,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe190,questanswer_1doc,根据首都医科大学宣武医院皮肤科副主任医师常晓的建议，如果户外活动超过半小时，或者紫外线强烈时，应该采取什么样的防晒措施？,如果户外活动超过半小时，或者紫外线强烈时，建议采用硬防晒叠加涂抹防晒霜的防晒措施。,应采用硬防晒叠加涂抹防晒霜的措施,应采用硬防晒叠加涂抹防晒霜的措施,0.0000,0.5263,NA,NA,13.0864,0.4895,13.5759,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe1e6,questanswer_1doc,根据中南大学湘雅三医院眼科副主任医师曹燕娜的说法，儿童青少年患上干眼症的原因有哪些？,儿童青少年患上干眼症的原因包括长时间用眼、使用电子产品，屈光不正，戴接触镜，结膜过敏等。,儿童青少年患上干眼症的原因包括长时间使用电子产品导致眨眼次数减少、泪液蒸发加快、学习任务繁重、长期佩戴角膜接触镜、睡眠不足、挑食偏食导致维生素A缺乏、屈光不正未被矫正引发视疲劳及眼表慢性炎症，以及过敏性疾病等。,儿童青少年患上干眼症的原因包括长时间使用电子产品导致眨眼次数减少、泪液蒸发加快、学习任务繁重、长期佩戴角膜接触镜、睡眠不足、挑食偏食导致维生素A缺乏、屈光不正未被矫正引发视疲劳及眼表慢性炎症，以及过敏性疾病等。,0.0000,0.5369,NA,NA,12.6445,3.6534,16.2979,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe1f2,questanswer_1doc,根据布鲁诺·比佐泽罗·佩罗尼进行的研究，每天食用多少克坚果可以将抑郁症的风险降低17%？,每天食用30克坚果可以将抑郁症的风险降低17%。,每天食用30克坚果可以将抑郁症的风险降低17%,每天食用30克坚果可以将抑郁症的风险降低17%,0.0000,0.9787,NA,NA,12.6274,0.5883,13.2157,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe20e,questanswer_1doc,国家市场监督管理总局在2023年8月11日发布的召回公告中，林肯、保时捷、宝马三个品牌共计召回了多少辆乘用车？,林肯、保时捷、宝马三个品牌共计召回了83161辆乘用车。,自2023年8月11日起，林肯品牌召回共计14036辆（其中林肯大陆11480辆、林肯领航员2556辆），保时捷品牌召回部分车型，宝马品牌未在相关公告中提及，因此三者合计为14036辆并在国家市场监督管理总局发布的召回公告中列明。,自2023年8月11日起，林肯品牌召回共计14036辆（其中林肯大陆11480辆、林肯领航员2556辆），保时捷品牌召回部分车型，宝马品牌未在相关公告中提及，因此三者合计为14036辆并在国家市场监督管理总局发布的召回公告中列明。,0.0000,0.3217,NA,NA,12.8897,1.2791,14.1688,
T4_向量偏多_v12k5g3,full,64fa9b27b82641eb8ecbe21b,questanswer_1doc,在海南大学南繁种业与生命健康院士论坛上，中国科学院院士杨正林揭示了脂代谢异常代谢机制导致盲目，并提到了哪两种与脂代谢有关的致盲疾病？,杨正林院士揭示了脂代谢异常致盲机制，并特别提到了年龄相关性黄斑变性（AMD）和青光眼这两种与脂代谢有关的致盲疾病。,无法确定,无法确定,0.0000,0.0000,NA,NA,13.8354,0.3801,14.2156,
