run_label,mode,id,type,question,gold_answer,pred_answer,pred_answer_raw,em,char_f1,evidence_strict_hit,evidence_any_hit,retrieve_sec,llm_sec,latency_sec,error
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe14c,questanswer_1doc,"国家卫生健康委员会于2023年7月28日启动了名为""启明行动""的专项活动，旨在针对特定群体的特定健康问题进行防控。请问这项活动具体针对哪个群体的健康问题？同时，请提供该活动所依据的指导性文件的名称。",“启明行动”是为了防控儿童青少年的近视问题，并发布了《防控儿童青少年近视核心知识十条》。,“启明行动”针对儿童青少年的近视防控问题，其依据的指导性文件为《防控儿童青少年近视核心知识十条》。,“启明行动”针对儿童青少年的近视防控问题，其依据的指导性文件为《防控儿童青少年近视核心知识十条》。,0.0000,0.8172,NA,NA,25.0566,2.5840,27.6405,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe14d,questanswer_1doc,最近，陕西省西安市发放大量了体育类电子消费券，供市民使用。这些电子消费券的具体金额是多少？可以在多少家体育场馆使用？,陕西西安市发放了500万元体育类电子消费券，市民可以在全市173家体育场馆使用这些消费券。,无法确定,无法确定,0.0000,0.0000,NA,NA,13.6897,0.3619,14.0516,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe156,questanswer_1doc,国家药监局在对哪5个品种的医疗器械进行产品质量监督抽检时，共发现了多少批（台）产品不符合标准规定？,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、立式压力蒸汽灭菌器、电动吸引器和人体血液及血液成分袋式塑料容器（血袋）这5个品种进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、天然胶乳橡胶避孕套、医用外科口罩、鼻内窥镜等5个品种的医疗器械进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、天然胶乳橡胶避孕套、医用外科口罩、鼻内窥镜等5个品种的医疗器械进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,0.0000,0.7306,NA,NA,13.7759,1.2111,14.9870,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe164,questanswer_1doc,在江苏省中医院副主任中医师徐顺娟提出的大暑养生建议中，她强调了养生的关键在于养护哪两个方面？,徐顺娟强调大暑养生的关键在于养“心阴”和护“脾气”。,大暑养生关键在养“心阴”、护“脾气”并在生活起居上避热防暑,大暑养生关键在养“心阴”、护“脾气”并在生活起居上避热防暑,0.0000,0.6182,NA,NA,13.2580,0.6822,13.9402,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe17a,questanswer_1doc,国务院办公厅转发的《关于恢复和扩大消费措施》通知中提到的优化汽车购买使用管理措施包括哪些具体政策？,优化汽车购买使用管理的具体政策包括：各地区不得新增汽车限购措施，已实施限购的地区优化汽车限购措施；全面取消二手车限迁、便利二手车交易登记；鼓励以旧换新，不得对非本地生产的汽车实施歧视性政策；加大汽车消费金融支持力度；增加城市停车位供给，改善人员密集场所和景区停车条件，推进车位资源共享利用。,优化汽车购买使用管理措施包括不得新增汽车限购措施，已实施限购的地区因地制宜优化限购措施，并扩大新能源汽车消费，落实构建高质量充电基础设施体系、支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等政策,优化汽车购买使用管理措施包括不得新增汽车限购措施，已实施限购的地区因地制宜优化限购措施，并扩大新能源汽车消费，落实构建高质量充电基础设施体系、支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等政策,0.0000,0.4959,NA,NA,13.6832,1.2661,14.9493,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe187,questanswer_1doc,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对多少名晚期子宫内膜癌患者显示出了抗肿瘤响应？,在人体试验中，NP137对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,0.0000,0.6939,NA,NA,13.6840,0.7830,14.4670,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe190,questanswer_1doc,根据首都医科大学宣武医院皮肤科副主任医师常晓的建议，如果户外活动超过半小时，或者紫外线强烈时，应该采取什么样的防晒措施？,如果户外活动超过半小时，或者紫外线强烈时，建议采用硬防晒叠加涂抹防晒霜的防晒措施。,应采用硬防晒叠加涂抹防晒霜的措施,应采用硬防晒叠加涂抹防晒霜的措施,0.0000,0.5263,NA,NA,14.9037,0.4615,15.3653,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe1e6,questanswer_1doc,根据中南大学湘雅三医院眼科副主任医师曹燕娜的说法，儿童青少年患上干眼症的原因有哪些？,儿童青少年患上干眼症的原因包括长时间用眼、使用电子产品，屈光不正，戴接触镜，结膜过敏等。,儿童青少年患上干眼症的原因包括挑食、偏食导致维生素A缺乏、长期睡眠不足、用眼不当、长时间佩戴角膜接触镜以及学习任务繁重，并且该病在儿童中的发病率已占门诊患者近三分之一。,儿童青少年患上干眼症的原因包括挑食、偏食导致维生素A缺乏、长期睡眠不足、用眼不当、长时间佩戴角膜接触镜以及学习任务繁重，并且该病在儿童中的发病率已占门诊患者近三分之一。,0.0000,0.4531,NA,NA,13.2284,1.7447,14.9731,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe1f2,questanswer_1doc,根据布鲁诺·比佐泽罗·佩罗尼进行的研究，每天食用多少克坚果可以将抑郁症的风险降低17%？,每天食用30克坚果可以将抑郁症的风险降低17%。,每天食用30克坚果可以将抑郁症的风险降低17%,每天食用30克坚果可以将抑郁症的风险降低17%,0.0000,0.9787,NA,NA,13.4147,0.4834,13.8981,
T1_全紧凑_v3k3g3,full,64fa9b27b82641eb8ecbe20e,questanswer_1doc,国家市场监督管理总局在2023年8月11日发布的召回公告中，林肯、保时捷、宝马三个品牌共计召回了多少辆乘用车？,林肯、保时捷、宝马三个品牌共计召回了83161辆乘用车。,2023年8月11日，国家市场监督管理总局发布的召回公告中，林肯品牌共召回83081辆乘用车，保时捷品牌涉及的车型包括Macan和Panamera但具体数量未明确，宝马品牌未在相关公告中提及，因此无法确定其召回数量。,2023年8月11日，国家市场监督管理总局发布的召回公告中，林肯品牌共召回83081辆乘用车，保时捷品牌涉及的车型包括Macan和Panamera但具体数量未明确，宝马品牌未在相关公告中提及，因此无法确定其召回数量。,0.0000,0.3088,NA,NA,13.8602,1.1123,14.9724,
